Start,End,Description,Address,Lat,Lon,Neighborhood
2015-09-25T19:00:00.000-04:00,2015-09-28T10:30:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2300 BLK N 3RD ST,40.282326,-76.897555,uptown
2015-09-27T18:30:00.000-04:00,2015-09-28T07:00:00.000-04:00,"CRIM'L MISCH-DEFACE WITH SPRAY-PAINT, MARKING",100 BLK STATE ST,40.2626868,-76.8885495,downtown
,2015-09-27T23:59:00.000-04:00,AGG ASSAULT-ATTEMPT TO OR CAUSE SER BODILY INJ,CHESTNUT ST & EVERGREEN ST,40.2644447,-76.8704823,allison-hill
2015-09-27T14:45:00.000-04:00,2015-09-27T23:15:00.000-04:00,BURGLARY-ENTERS STRUCTURE W/NO PERSON PRESENT,1600 BLK GREEN ST,40.272284,-76.8925328,midtown
2015-09-27T22:00:00.000-04:00,2015-09-27T23:00:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,1600 BLK STATE ST,40.271129,-76.868106,allison-hill
,2015-09-27T20:12:00.000-04:00,RECKLESSLY ENDANGERING ANOTHER PERSON,EMERALD ST & GREEN ST,40.2818856,-76.8986309,uptown
,2015-09-27T18:00:00.000-04:00,USE/POSS W INTENT TO USE DRUG PARAPHERNALIA,500 BLK S FRONT ST,40.262488,-76.8885843,downtown
,2015-09-27T16:30:00.000-04:00,THEFT PROPERTY LOST ETC BY MISTAKE,1800 BLK DERRY ST,40.262147,-76.860239,allison-hill
,2015-09-27T15:45:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,1200 BLK CHESTNUT ST,40.2643731,-76.8713609,allison-hill
2015-09-27T15:00:00.000-04:00,2015-09-27T15:40:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,CITY ISLAND,40.2547112,-76.8876968,downtown
2015-09-27T04:00:00.000-04:00,2015-09-27T12:30:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,1300 BLK HOWARD ST,40.2653158,-76.8698223,allison-hill
2015-09-26T21:00:00.000-04:00,2015-09-27T11:25:00.000-04:00,BURGLARY- NOT ADAPTED/OVERNIGHT NO PERSON PRES,100 BLK S CAMERON ST,40.2664785,-76.8756491,allison-hill
2015-09-27T09:00:00.000-04:00,2015-09-27T09:45:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,500 BLK N FRONT ST,40.262488,-76.8885843,downtown
2015-09-26T23:30:00.000-04:00,2015-09-27T09:30:00.000-04:00,THEFT FROM MOTOR VEHICLE,2200 BLK KENSINGTON ST,40.26408,-76.851985,allison-hill
2015-09-26T17:00:00.000-04:00,2015-09-27T07:35:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2200 BLK KENSINGTON ST,40.26408,-76.851985,allison-hill
2015-09-26T20:00:00.000-04:00,2015-09-27T07:00:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,1300 BLK MAYFLOWER ST,40.2647808,-76.8690079,allison-hill
,2015-09-27T05:50:00.000-04:00,DRIVING UNDER THE INFLUENCE OF ALCOHOL,KENSINGTON ST & S 24TH ST,40.2650058,-76.8478404,allison-hill
,2015-09-27T04:32:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,1500 BLK PIGEON ST,40.24562,-76.8587199,allison-hill
2015-09-27T03:00:00.000-04:00,2015-09-27T03:10:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,100 BLK SOUTH ST,40.262185,-76.887648,downtown
,2015-09-27T02:01:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,3300 BLK N 2ND ST,40.30028,-76.902621,uptown
2015-09-27T00:23:00.000-04:00,2015-09-27T00:45:00.000-04:00,UNLAWFUL CONDUCT OF MINOR/CURFEW,1700 BLK WALNUT ST,40.270244,-76.866048,allison-hill
2015-09-26T00:01:00.000-04:00,2015-09-26T23:59:00.000-04:00,IDENTITY THEFT,1800 BLK NORTH ST,40.2730074,-76.8658367,allison-hill
2015-09-26T17:30:00.000-04:00,2015-09-26T23:49:00.000-04:00,BURGLARY-ENTERS STRUCTURE W/NO PERSON PRESENT,1600 BLK BERRYHILL ST,40.2600876,-76.863039,allison-hill
,2015-09-26T20:30:00.000-04:00,ROBBERY-THREAT IMMED SER INJURY,1500 BLK CAMERON TER,40.2446742,-76.8595263,allison-hill
,2015-09-26T20:30:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,2400 BLK MIDLAND RD,40.26987,-76.849842,allison-hill
,2015-09-26T17:03:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,1900 BLK STATE ST,40.2730869,-76.8633569,allison-hill
,2015-09-26T13:03:00.000-04:00,RETAIL THEFT-TAKE MDSE,2300 BLK N 3RD ST,40.282326,-76.897555,uptown
2015-09-25T18:30:00.000-04:00,2015-09-26T12:30:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,FIRST BLK S 20TH ST,40.2677509,-76.8586285,allison-hill
2015-09-26T12:00:00.000-04:00,2015-09-26T12:07:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2700 BLK N 6TH ST,40.290286,-76.895003,uptown
2015-09-25T21:00:00.000-04:00,2015-09-26T09:00:00.000-04:00,CRIM'L MISCH-ANOTHER PECUN LOSS,200 BLK S COURT ST,40.2614773,-76.8832944,downtown
,2015-09-26T04:51:00.000-04:00,AGGRAVATED HARASSMENT BY PRISONER,1200 BLK CUMBERLAND ST,40.2740062,-76.875926,allison-hill
,2015-09-26T04:26:00.000-04:00,TERRORISTIC THREATS,1200 BLK CUMBERLAND ST,40.2740062,-76.875926,allison-hill
,2015-09-26T02:50:00.000-04:00,ROBBERY-INFLICT THREAT IMM BOD INJ,S 13TH ST & SWATARA ST,40.2603551,-76.8675234,allison-hill
,2015-09-26T02:02:00.000-04:00,DRIVING UNDER THE INFLUENCE OF ALCOHOL,KITTATINNY ST & S 13TH ST,40.2618085,-76.8682117,allison-hill
,2015-09-26T00:48:00.000-04:00,MARIJUANA-SMALL AMT PERSONAL USE,ETHEL ST & N 16TH ST,40.267289,-76.8664196,allison-hill
,2015-09-26T00:22:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,200 BLK N 2ND ST,40.2608781,-76.8842499,downtown
,2015-09-25T23:44:00.000-04:00,MARIJUANA-SMALL AMT PERSONAL USE,MARKET ST & N 16TH ST,40.2668897,-76.8662325,allison-hill
,2015-09-25T19:02:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,300 BLK MARKET ST,40.2611553,-76.880825,downtown
,2015-09-25T17:36:00.000-04:00,RECEIVING STOLEN PROPERTY,HALL MANOR,40.2497735,-76.855845,allison-hill
,2015-09-25T14:49:00.000-04:00,DR UNREGIST VEH,MUENCH ST & N 7TH ST,40.2788535,-76.8875777,midtown
,2015-09-25T14:04:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,N 3RD ST & REILY ST,40.2715948,-76.8903585,midtown
,2015-09-25T12:30:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,KITTATINNY ST & S 13TH ST,40.2618085,-76.8682117,allison-hill
2015-09-25T08:30:00.000-04:00,2015-09-25T11:20:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2100 BLK BERRYHILL ST,40.262768,-76.853747,allison-hill
,2015-09-25T09:08:00.000-04:00,TERRORISTIC THREATS,2600 BLK N 6TH ST,40.2885909,-76.894569,uptown
,2015-09-25T09:00:00.000-04:00,ABANDONING VEH ON HIGHWAY,400 BLK HAMILTON ST,40.275037,-76.890171,midtown
2015-09-24T22:30:00.000-04:00,2015-09-25T02:00:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,200 BLK VERBEKE ST,40.2687669,-76.891461,midtown
,2015-09-25T01:18:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,1900 BLK N 4TH ST,40.2770803,-76.8923039,midtown
,2015-09-24T19:56:00.000-04:00,FRAUDULENT USE OR REMOVAL OF REGISTRATION PLAT,HALL MANOR,40.2497735,-76.855845,allison-hill
,2015-09-24T18:59:00.000-04:00,DISORDERLY CONDUCT HAZARDOUS/PHYSI OFF,2900 BLK N 7TH ST,40.2916554,-76.8936195,uptown
2015-09-23T09:00:00.000-04:00,2015-09-24T16:24:00.000-04:00,BURGLARY-ENTERS STRUCTURE W/NO PERSON PRESENT,1300 BLK HOWARD ST,40.2653158,-76.8698223,allison-hill
,2015-09-24T14:59:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,2400 BLK MARKET ST,40.271572,-76.850859,allison-hill
,2015-09-24T11:50:00.000-04:00,"HARASSMENT - PHYSICALLY STRIKE, ETC",1100 BLK N CAMERON ST,40.272536,-76.877697,allison-hill
2015-09-23T08:00:00.000-04:00,2015-09-24T08:00:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2000 BLK GREENWOOD ST,40.2585278,-76.8541845,allison-hill
,2015-09-24T04:30:00.000-04:00,OP/PERMIT OPERATE VEH W UNSAFE EQUIP,300 BLK HERR ST,40.268163,-76.88771,midtown
,2015-09-24T01:32:00.000-04:00,RECEIVING STOLEN PROPERTY,BERRYHILL ST & S 17TH ST,40.2605071,-76.8615251,allison-hill
,2015-09-23T23:56:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,2700 BLK GREEN ST,40.28905,-76.902452,uptown
2015-09-23T22:45:00.000-04:00,2015-09-23T23:15:00.000-04:00,ROBBERY,2100 BLK KENSINGTON ST,40.263529,-76.853958,allison-hill
,2015-09-23T20:51:00.000-04:00,PUBLIC DRUNKENESS,1800 BLK SPENCER ST,40.2633019,-76.8612063,allison-hill
,2015-09-23T18:52:00.000-04:00,PROHIBITED OFFENSIVE WEAPONS,2300 BLK GREEN ST,40.2818972,-76.8986558,uptown
2015-09-23T15:20:00.000-04:00,2015-09-23T15:20:00.000-04:00,CONTEMPT FOR VIOLATION OF ORDER OR AGREEMENT,1900 BLK BOAS ST,40.275887,-76.8648511,allison-hill
2015-09-22T23:00:00.000-04:00,2015-09-23T11:00:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,200 BLK MACLAY ST,40.278304,-76.8985452,
,2015-09-23T09:03:00.000-04:00,IMPROPER RIGHT TURN,N 6TH ST & SENECA ST,40.2852845,-76.8928775,uptown
,2015-09-23T06:23:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,N 5TH ST & WOODBINE ST,40.2814715,-76.8935154,uptown
,2015-09-23T03:11:00.000-04:00,PUBLIC DRUNKENESS,N FRONT ST & FORSTER ST,40.2648881,-76.8904193,
,2015-09-23T03:00:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,1800 BLK SYCAMORE ST,40.2533112,-76.856454,allison-hill
,2015-09-22T20:31:00.000-04:00,USE/POSS W INTENT TO USE DRUG PARAPHERNALIA,MARKET ST & S 13TH ST,40.2658321,-76.8700775,allison-hill
,2015-09-22T19:48:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,FIRST BLK M W SMITH HM,,,
2015-09-21T21:30:00.000-04:00,2015-09-22T19:30:00.000-04:00,BURGLARY-ENTERS STRUCTURE W/NO PERSON PRESENT,2600 BLK N 6TH ST,40.2885909,-76.894569,uptown
,2015-09-22T18:45:00.000-04:00,PROPULSION OF MISSILES INTO OCCUPIED VEHICLE,N CAMERON ST & STATE ST,,,
,2015-09-22T18:26:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,1400 BLK SUSQUEHANNA ST,40.2704193,-76.890323,midtown
,2015-09-22T13:40:00.000-04:00,CRIM'L MISCH-TAMPER W/PROPERTY,1500 BLK N 6TH ST,40.2731664,-76.8866777,midtown
,2015-09-22T13:35:00.000-04:00,TERRORISTIC THREATS,500 BLK S 29TH ST,40.267447,-76.841731,allison-hill
2015-09-22T12:46:00.000-04:00,2015-09-22T12:46:00.000-04:00,RECKLESSLY ENDANGERING ANOTHER PERSON,1100 BLK N CAMERON ST,40.272536,-76.877697,allison-hill
,2015-09-22T12:43:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,S 17TH ST & SYCAMORE ST,40.2529072,-76.8578836,allison-hill
,2015-09-22T12:00:00.000-04:00,ABANDONING VEH ON HIGHWAY,200 BLK S 15TH ST,40.2689456,-76.86937,allison-hill
,2015-09-22T11:43:00.000-04:00,SEXUAL ASSAULT,600 BLK SENECA ST,40.285598,-76.892476,uptown
,2015-09-22T09:55:00.000-04:00,THEFT FROM MOTOR VEHICLE,1100 BLK MARKET ST,40.2648458,-76.8740901,allison-hill
,2015-09-22T08:30:00.000-04:00,ABANDONING VEH ON HIGHWAY,S 15TH ST & BROOKWOOD ST,40.2578309,-76.8633991,allison-hill
,2015-09-22T07:30:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,1900 BLK BELLEVUE RD,40.266685,-76.8603569,allison-hill
,2015-09-22T00:10:00.000-04:00,"HARASSMENT - PHYSICALLY STRIKE, ETC",500 BLK RADNOR ST,40.2881615,-76.8957414,uptown
,2015-09-21T23:39:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,1300 BLK N 3RD ST,40.269595,-76.88933,midtown
,2015-09-21T20:23:00.000-04:00,DRIVING UNDER THE INFLUENCE OF ALCOHOL,1600 BLK DERRY ST,40.2624294,-76.8638195,allison-hill
,2015-09-21T19:25:00.000-04:00,PROM PROS-INMATE IN HOUSE OF PROST/BUSINESS,S 13TH ST & VERNON ST,40.2643782,-76.8693955,allison-hill
,2015-09-21T18:45:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,1500 BLK VERNON ST,40.264003,-76.864549,allison-hill
,2015-09-21T18:29:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,EMERALD ST & N FRONT ST,40.2811855,-76.901252,uptown
,2015-09-21T13:43:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,400 BLK S 14TH ST,40.260542,-76.86648,allison-hill
,2015-09-21T13:14:00.000-04:00,TERRORISTIC THREATS,1600 BLK NAUDAIN ST,40.259637,-76.86271,allison-hill
,2015-09-21T12:50:00.000-04:00,MANUFACT/DEL/POSS W INT TO MAN/DEL CONTRLLD SU,1700 BLK MARKET ST,40.2675849,-76.864767,allison-hill
,2015-09-21T12:10:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,1700 BLK REGINA ST,40.269157,-76.865454,allison-hill
,2015-09-21T12:02:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,1600 BLK S CAMERON ST,40.277633,-76.879983,allison-hill
2015-09-20T00:01:00.000-04:00,2015-09-21T12:00:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,1600 BLK GREEN ST,40.272284,-76.8925328,midtown
2015-09-21T10:30:00.000-04:00,2015-09-21T11:30:00.000-04:00,THEFT FROM MOTOR VEHICLE,900 BLK N CAMERON ST,40.2716073,-76.8770485,allison-hill
,2015-09-21T10:44:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,500 BLK S FRONT ST,40.262488,-76.8885843,downtown
,2015-09-21T04:04:00.000-04:00,MARIJUANA-SMALL AMT PERSONAL USE,PAXTON ST & S 19TH ST,40.2547975,-76.8548125,allison-hill
,2015-09-21T02:43:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,FISHER PLAZA & STATE ST,,,
,2015-09-21T02:37:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,1300 BLK HANOVER ST,40.2479933,-76.8609183,allison-hill
,2015-09-21T02:30:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,2600 BLK LEXINGTON ST,40.288382,-76.895244,uptown
,2015-09-21T02:15:00.000-04:00,FAIL TO CARRY REGIST,MULBERRY ST & DERRY ST,40.2631335,-76.8693627,allison-hill
2015-09-21T01:00:00.000-04:00,2015-09-21T02:00:00.000-04:00,THEFT PROPERTY LOST ETC BY MISTAKE,500 BLK S 19TH ST,40.2615365,-76.8580489,allison-hill
,2015-09-21T01:48:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,600 BLK DAUPHIN ST,40.2779174,-76.8888872,midtown
,2015-09-21T00:30:00.000-04:00,DRIVING WITHOUT A LICENSE,N 15TH ST & WALNUT ST,40.2686537,-76.869076,allison-hill
,2015-09-21T00:22:00.000-04:00,"HARASSMENT - PHYSICALLY STRIKE, ETC",200 BLK LEWIS ST,40.2985022,-76.9022476,uptown
,2015-09-20T23:09:00.000-04:00,HARASSMENT & STALKING - ALARM REPEAT ANNOY,2300 BLK LOGAN ST,40.282466,-76.8965812,uptown
,2015-09-20T22:00:00.000-04:00,THEFT PROPERTY LOST ETC BY MISTAKE,500 BLK S 19TH ST,40.2615365,-76.8580489,allison-hill
,2015-09-20T22:00:00.000-04:00,"HARASSMENT - PHYSICALLY STRIKE, ETC",2100 BLK N 4TH ST,40.2795206,-76.89404,
,2015-09-20T21:14:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,200 BLK MARY ST,40.2577878,-76.8779305,downtown
,2015-09-20T20:00:00.000-04:00,HARASSMENT & STALKING - ALARM REPEAT ANNOY,400 BLK HAMILTON ST,40.275037,-76.890171,midtown
,2015-09-20T19:55:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,1300 BLK N 6TH ST,40.2709258,-76.8862648,midtown
,2015-09-20T17:45:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,500 BLK S 13TH ST,40.25885,-76.867129,allison-hill
,2015-09-20T16:20:00.000-04:00,REQUIRED FINANCIAL RESPONSIBILITY,2500 BLK N 4TH ST,40.286007,-76.8973369,uptown
,2015-09-20T15:40:00.000-04:00,RETAIL THEFT-TAKE MDSE,100 BLK S 25TH ST,40.2706215,-76.8444783,allison-hill
,2015-09-20T12:00:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,100 BLK S 17TH ST,40.2660259,-76.864435,allison-hill
,2015-09-20T11:30:00.000-04:00,INDEC ASSLT-THREAT OF FORCIBLE COMPULSION,100 BLK S FRONT ST,40.257632,-76.8811727,downtown
2015-09-15T12:00:00.000-04:00,2015-09-20T10:45:00.000-04:00,BURGLARY- NOT ADAPTED/OVERNIGHT NO PERSON PRES,2000 BLK KENSINGTON ST,40.2626888,-76.8561875,allison-hill
,2015-09-20T10:35:00.000-04:00,DUTIES AT STOP SIGNS,N 3RD ST & EMERALD ST,40.282274,-76.8972296,uptown
2015-09-19T21:45:00.000-04:00,2015-09-20T05:45:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2000 BLK SWATARA ST,40.263642,-76.8564619,allison-hill
2015-09-20T04:00:00.000-04:00,2015-09-20T04:05:00.000-04:00,BURGLARY- ENTERS STRUCTURE WITH PERSON PRESENT,HALL MANOR,40.2497735,-76.855845,allison-hill
,2015-09-20T02:42:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,1800 BLK HANOVER ST,40.2501793,-76.8549687,allison-hill
,2015-09-20T02:42:00.000-04:00,PUBLIC DRUNKENESS,BLACKBERRY ST & S 2ND ST,,,
,2015-09-20T02:42:00.000-04:00,ROBBERY-TAKE PROPERTY FR OTHER/FORCE,2100 BLK GREEN ST,40.278751,-76.8974269,uptown
,2015-09-20T01:34:00.000-04:00,DISORDERLY CONDUCT OBSCENE LANG/GEST,2600 BLK N 6TH ST,40.2885909,-76.894569,uptown
,2015-09-20T00:34:00.000-04:00,RESIST ARREST/OTHER LAW ENFORCE,1200 BLK MARKET ST,40.265322,-76.872538,allison-hill
,2015-09-19T23:37:00.000-04:00,PUBLIC DRUNKENESS,FIRST BLK N 14TH ST,40.2681797,-76.8700533,allison-hill
,2015-09-19T22:59:00.000-04:00,INDEC ASSLT-LESS THAN 13 YEARS OLD,2100 BLK N 5TH ST,40.2798533,-76.8927911,
,2015-09-19T18:52:00.000-04:00,MARIJUANA-SMALL AMT PERSONAL USE,500 BLK MARKET ST,40.4681562,-76.9328871,
,2015-09-19T18:30:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,3000 BLK HOFFMAN ST,40.2951881,-76.8959767,uptown
,2015-09-19T16:28:00.000-04:00,DISORDERLY CONDUCT HAZARDOUS/PHYSI OFF,CAMP ST & N 6TH ST,40.2828563,-76.8915971,uptown
2015-09-18T23:30:00.000-04:00,2015-09-19T14:30:00.000-04:00,THEFT FROM MOTOR VEHICLE,1900 BLK RUDY RD,40.2635194,-76.8589514,allison-hill
,2015-09-19T13:31:00.000-04:00,AGG ASSLT-ATMPT/CAUSE BODILY INJURY W DEADLY W,1800 BLK PARK ST,40.2685237,-76.8637039,allison-hill
,2015-09-19T11:58:00.000-04:00,DRIVING UNDER THE INFLUENCE OF ALCOHOL,HARRIS ST & N 3RD ST,40.2728128,-76.8912368,midtown
,2015-09-19T11:56:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,1200 BLK BAILEY ST,40.265849,-76.872816,allison-hill
2015-09-18T20:00:00.000-04:00,2015-09-19T09:10:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2700 BLK LEXINGTON ST,40.290039,-76.896001,uptown
